#{"t_start": 1759989829.561061, "env_id": "None"}
r,l,t
10189.614107,74,2259.12447
11070.213748,90,2261.065525
11202.491012,94,2263.155044
10497.168437,83,2264.941418
11147.184652,90,2267.032471
11086.14608,92,2269.006923
11289.852436,94,2271.173693
10267.210718,79,2272.966811
10436.910348,83,2275.086162
10994.468132,102,2277.691529
10999.888411,87,2279.838193
11682.433816,161,2283.626096
5846.719156,134,2286.915455
10440.776849,95,2289.232491
4315.999579,252,2295.075578
10995.198009,87,2297.138449
10421.266882,81,2299.17259
9982.093659,76,2301.27409
10184.504928,73,2303.198991
10673.815119,87,2305.344006
11596.691467,116,2308.148547
9989.469606,75,2310.075093
10127.28972,75,2311.887842
11306.640508,97,2314.192209
10212.328052,75,2316.101921
11131.988951,90,2318.402794
10429.774844,81,2320.377142
2290.345476,42,2321.559259
10201.858154,74,2323.47978
10365.555714,79,2325.674311
10299.360912,78,2327.663548
11204.546649,123,2330.630797
10912.494128,97,2333.114763
9865.100486,73,2335.02197
10541.824677,81,2336.947817
10142.69693,75,2338.831293
10640.637366,99,2341.264062
10353.246859,77,2343.174392
10555.304444,85,2345.251818
11924.885077,132,2348.028815
10114.516183,73,2349.686336
11736.206143,117,2352.126185
11254.011529,99,2354.478183
10415.263748,88,2356.436152
11469.701373,114,2358.90028
10390.752481,89,2360.887866
10273.844974,77,2362.674731
