#{"t_start": 1759989430.8115149, "env_id": "None"}
r,l,t
9604.814694,88,1212.736636
9831.979846,109,1215.888055
1574.597346,120,1219.290028
1153.712034,33,1220.506019
185.292532,30,1221.565719
9726.436284,90,1224.480175
9289.123049,86,1227.045373
9552.275843,89,1229.404783
9225.628765,88,1231.441336
9501.330229,84,1233.474661
9908.547434,92,1235.871947
9096.605579,89,1238.417912
10137.159788,95,1240.860078
9080.195279,97,1242.94778
8588.159693,84,1244.783648
9600.656809,91,1247.105851
571.164585,32,1247.978918
8722.001633,82,1249.980963
8772.621581,85,1252.290317
518.451149,37,1253.551786
8092.600356,87,1255.518337
8826.615113,82,1258.13345
364.18303,34,1259.234459
8069.630167,82,1261.202237
156.598729,35,1262.404356
8574.398303,104,1265.302849
10086.732862,89,1268.242837
8880.316999,87,1270.639627
9745.438917,89,1273.222455
10015.128597,90,1275.863728
10103.594426,92,1278.189806
7954.700819,85,1280.210776
9868.970656,89,1282.792866
1456.646013,34,1283.785773
3116.226356,91,1285.960783
9023.452761,87,1288.267066
8706.287875,89,1290.642295
2065.19441,89,1292.80771
8974.450842,80,1295.128629
7127.078271,82,1297.24297
8766.063447,87,1299.260654
9560.397537,86,1301.694539
-233.202806,37,1303.005449
8417.580588,84,1305.841857
9739.38446,90,1308.139823
8940.037421,85,1310.420931
8855.190286,92,1312.854729
296.841493,27,1313.858625
8893.622905,118,1317.215292
9208.97264,115,1319.83656
-1557.907915,252,1326.652206
9695.921184,86,1329.011208
10226.351451,116,1331.995729
9321.219011,116,1335.005048
9200.031332,135,1338.203919
8908.647927,120,1341.188745
9130.76421,97,1343.33073
9915.287548,95,1345.5041
8460.880624,103,1347.773039
8288.221594,104,1350.043233
9715.333349,120,1352.745739
8846.694246,113,1355.259953
8436.652117,191,1359.237155
9346.57068,102,1361.470483
9300.174042,118,1364.475073
6928.733723,90,1366.476092
857.07553,36,1367.380037
8397.983312,97,1369.473958
52.546209,22,1370.280915
9237.423787,88,1372.193297
959.461288,45,1373.356716
9892.813538,92,1375.611445
10154.619919,120,1378.419211
9824.247714,90,1380.807856
10049.715814,128,1383.74102
6783.700135,120,1386.808625
9859.648085,89,1389.445963
6924.189877,210,1395.687782
-2885.00477,252,1402.261682
1214.447694,35,1403.425221
10043.285335,99,1406.104634
1266.240211,204,1410.61784
10152.435689,91,1412.624007
1279.915544,114,1415.090123
8228.226507,172,1418.660483
9852.885976,87,1420.548959
1342.88262,108,1422.861973
-1691.986138,252,1428.679404
10028.661347,94,1430.711325
7911.79745,189,1434.894618
2119.965776,72,1436.631592
2450.194978,68,1438.226164
56.679056,40,1439.200551
9034.495029,91,1441.450218
6922.558485,168,1444.988494
8245.523559,98,1447.288748
825.239247,128,1450.063613
3130.732985,87,1452.033696
8632.846581,100,1454.198013
8082.391287,125,1457.382886
10339.396777,99,1459.658525
10220.021403,97,1461.825023
5316.920263,190,1466.028401
10399.164316,111,1468.978066
236.816214,217,1473.746364
9711.241701,97,1476.051158
1096.86571,35,1476.972807
8881.448428,186,1480.818412
9131.355381,110,1483.364716
8940.846952,88,1485.231536
2689.422764,104,1487.986865
10173.313927,131,1490.736382
-2626.473158,252,1496.127587
-7.40591,31,1496.956015
7817.666081,203,1501.336239
10084.634067,125,1504.064837
1932.721956,53,1505.314106
9895.464108,96,1507.567219
2439.461154,110,1509.933655
9180.302494,101,1512.202849
8620.844097,81,1514.019773
8822.000177,137,1517.130735
2067.045007,185,1521.157253
9724.73,103,1523.366953
8416.523241,86,1525.298202
9586.848839,96,1527.656663
5414.583183,228,1532.750858
9002.918177,99,1535.147485
1093.28674,46,1536.318385
6141.714792,219,1541.214887
-5196.341996,252,1546.129994
9040.113727,101,1548.50756
9621.56725,130,1551.141708
10507.116596,102,1553.190155
2666.717696,121,1555.611959
2007.52669,53,1556.86892
9230.945009,126,1559.433439
10511.906205,103,1561.586751
1974.101389,91,1563.345051
9689.467288,89,1565.055612
1338.068951,43,1565.954899
3238.704503,75,1567.418726
8794.14896,99,1569.467564
3072.887925,110,1571.732463
-681.182565,221,1575.835213
9162.575979,89,1577.579104
9540.013187,89,1579.686926
7403.860435,118,1582.431135
1898.311409,57,1583.7803
9488.710871,95,1585.910885
3586.619149,134,1588.891082
8528.652623,97,1591.157381
832.38428,54,1592.47984
2393.885729,74,1594.141565
1145.090239,51,1595.496149
8567.93647,114,1597.926408
9632.621539,109,1600.16927
9283.84279,100,1602.28232
10070.122708,89,1604.122407
8922.909978,90,1606.056555
9330.180355,90,1608.00735
8856.719569,89,1610.177643
9404.087587,97,1612.358978
7640.150912,122,1614.683257
8636.39107,97,1616.585075
9743.756741,96,1618.666531
10042.090171,97,1620.54154
10021.496501,97,1622.54003
2994.506755,90,1624.21776
8146.11312,221,1628.233305
8755.058285,88,1629.931247
3812.349504,100,1631.960354
1976.874342,73,1633.339982
9500.846343,87,1634.97723
9325.840696,97,1636.922956
9981.408101,101,1638.832317
8865.326741,86,1640.541714
9128.874481,81,1642.341537
9970.813338,94,1644.321293
10740.54129,127,1646.753797
686.49022,226,1651.052238
8375.256293,78,1652.576294
9644.605341,100,1654.427944
10298.431223,88,1656.202347
1530.56746,187,1659.644798
8858.800497,95,1661.510974
5931.100222,249,1665.839705
9625.041081,94,1667.693089
9602.36898,96,1669.580402
6209.507561,192,1673.382265
9556.085522,97,1675.261519
9808.510213,86,1677.086874
9675.734387,123,1679.43553
8558.993355,90,1681.390537
10546.035842,100,1683.367711
7445.340188,113,1685.454452
9167.502464,90,1687.142387
10275.330113,92,1688.88893
9085.688268,76,1690.41899
9561.964174,95,1692.245708
9693.231188,98,1694.066809
9716.649639,90,1695.758652
10018.837817,98,1697.611301
8959.149125,128,1700.182733
8500.803018,173,1703.468754
9088.98522,96,1705.293704
10071.040829,101,1707.2615
8423.663342,131,1709.779
9749.610294,103,1711.764062
9328.994855,94,1713.615894
8871.563284,96,1715.425829
10275.584887,101,1717.321229
8710.189012,74,1718.897997
8184.666005,76,1720.304507
10243.029986,92,1722.125864
10573.968782,98,1723.987804
2944.572491,72,1725.551225
9979.137931,102,1727.44526
10321.34912,93,1729.326817
9133.345057,86,1731.029551
9799.626583,96,1732.820711
8109.419818,210,1736.750956
3087.393103,69,1738.208789
9894.674941,98,1740.121571
9173.465387,85,1741.850126
3605.503629,94,1743.720878
9685.075593,188,1747.217963
9556.126505,86,1748.982985
8691.752716,85,1750.871625
3435.153688,95,1752.71583
9484.247995,101,1754.581511
8559.907861,89,1756.26354
3389.365642,64,1757.613449
9648.89595,93,1759.40094
10019.932565,100,1761.302317
9842.059498,118,1763.503703
9867.984783,91,1765.409882
8533.54923,76,1766.998779
9606.856259,85,1768.690672
1645.584917,39,1769.536253
2496.277378,80,1771.123737
3567.843502,64,1772.593675
9067.397287,81,1774.206956
9928.107527,87,1775.834398
10169.794893,99,1777.831533
9537.440577,88,1779.536739
9648.129925,97,1781.389361
9871.445477,93,1783.266107
10109.86414,90,1784.969779
9814.057661,90,1786.766973
7099.670544,210,1790.632048
9918.214349,122,1792.887604
1073.006447,203,1796.986622
9464.501353,103,1798.944876
9386.103418,96,1800.794893
10006.495135,98,1802.720188
10733.166366,96,1804.722696
-680.242931,252,1809.26262
2746.710144,70,1810.669789
9683.562733,90,1812.41317
2585.684731,119,1814.648186
8768.513676,92,1816.467443
10073.914491,99,1818.33666
8629.39938,87,1820.036497
3814.160024,121,1822.276188
10723.175723,102,1824.333114
8977.501849,124,1826.690384
9957.133638,80,1828.517808
9732.058028,91,1830.224134
8725.815063,83,1831.79278
9525.296684,91,1833.616252
9643.537602,90,1835.489237
10103.792737,99,1837.349545
9483.684654,80,1838.980296
7641.073582,94,1840.847844
9927.588657,101,1842.793701
9753.548282,96,1844.618479
10201.98883,92,1846.623119
10155.471404,101,1848.474248
9392.835244,93,1850.293427
2065.444537,162,1853.120963
9832.337861,92,1854.891385
1408.024687,37,1855.732942
9316.952253,83,1857.30272
1475.297656,134,1860.037758
9334.03737,76,1861.527183
9847.775924,85,1863.280239
10355.491125,93,1865.286431
9234.193674,104,1867.260997
10019.262978,97,1869.043928
8778.456452,99,1871.071329
10455.109199,105,1873.077637
10550.310791,99,1875.015375
10036.202426,95,1876.806008
9486.856729,83,1878.431062
8918.977596,123,1880.629292
9621.357931,82,1882.22828
9803.886087,95,1884.058136
9909.753041,89,1885.772165
3616.664921,83,1887.516732
2792.613515,76,1889.121463
8546.819957,98,1891.361315
3947.533478,67,1892.735442
9466.517564,136,1895.406095
2023.473551,130,1897.720652
9200.259316,93,1899.47827
9141.22499,86,1901.185815
9769.815057,90,1902.863998
9923.656393,85,1904.516808
