#{"t_start": 1760343927.40677, "env_id": "None"}
r,l,t
9780.323496,114,772.899559
9083.178682,109,774.686547
10994.812948,113,776.5041
11592.473884,104,778.233633
10994.938295,112,780.11406
10735.624457,112,782.129804
11442.041006,110,783.93293
11158.734223,112,785.767883
11686.826751,112,787.625023
10653.005291,110,789.680018
9743.588603,102,791.753439
10039.06889,113,793.869004
10864.7543,105,795.578556
10579.695842,114,797.565175
8991.664423,100,799.237565
10454.75539,101,800.898576
10373.196602,114,802.76608
10769.238244,110,804.67965
10740.680979,111,806.612456
10038.666256,99,808.287641
11057.823175,112,810.07934
10928.010415,113,811.943679
10937.33773,113,813.849846
10938.894309,117,815.760098
10591.407624,110,817.514709
10007.536789,112,819.458349
10420.832262,113,821.677562
10058.227439,110,823.945766
10525.625821,116,825.847182
8892.403612,111,827.621419
10554.025132,112,829.565856
11726.250278,113,831.420491
10916.843382,113,833.235458
10498.703913,116,835.099543
10601.454308,113,836.947911
10726.05026,115,838.905902
10252.13642,114,840.771531
11373.964171,114,842.609122
10728.102622,113,844.427161
10863.380697,113,846.302204
10684.008364,115,848.226077
11115.188925,114,850.062051
8878.317871,115,852.421606
9707.189114,102,854.58885
10880.229995,114,856.522673
9920.004501,112,858.375568
10739.499975,108,860.208074
10459.315681,113,862.050311
10433.955448,112,863.896672
10222.791978,114,865.880064
9789.756067,114,867.722332
11517.12247,114,869.576579
10373.391993,117,871.492664
11192.691461,115,873.418464
11348.190855,114,875.271116
11145.898392,116,877.3327
10837.101296,113,879.130345
10434.594141,114,881.075862
11023.02598,115,883.236589
10856.415272,117,885.589187
10789.969287,112,887.431246
9909.556511,115,889.329512
10237.436485,119,891.292262
10035.356855,115,893.156156
11248.651014,117,895.068391
10430.623286,112,896.940665
11188.301854,113,898.820865
10333.331511,115,900.870714
10694.39457,114,902.72491
10380.267243,115,904.593928
10562.19829,119,906.629613
10448.79559,116,908.513238
9749.43768,114,910.341946
9924.536869,111,912.390827
10774.613354,112,914.503431
10739.754475,120,916.876187
8602.56983,223,920.403029
2466.24818,56,921.457581
11099.544929,113,923.304461
9731.652209,109,925.204733
10923.739879,115,927.203601
10475.706506,115,929.127797
11274.641706,112,931.010024
10554.884653,112,932.952091
10229.109558,110,934.77614
9793.032542,114,936.635545
10628.195908,110,938.408392
11278.354644,114,940.297194
10761.980023,113,942.241026
10516.620353,114,944.414283
10592.321178,112,946.794404
11234.435827,115,948.661277
11996.021319,117,950.751013
9746.748088,110,952.586526
11115.21068,112,954.453542
10808.792001,111,956.257532
10816.029374,112,958.083325
10389.195585,114,959.977634
11106.349446,113,961.760369
10636.253533,112,963.565169
11390.861813,114,965.408616
1060.388795,43,966.249868
3779.6386,84,967.739253
10623.553288,113,969.60775
10236.055788,112,971.489227
10808.857551,115,973.646522
11032.413476,110,975.799334
10851.692548,114,978.080673
10531.837372,114,980.001335
10390.618725,114,981.932403
10997.560477,111,983.726385
10289.860649,112,985.64198
10759.281863,114,987.467958
10790.316949,112,989.236681
11296.015355,116,991.102139
10893.859317,113,993.049856
10608.690979,111,994.973205
10269.141115,115,996.825812
10966.225586,110,998.65584
10709.656434,115,1000.523634
11177.42606,113,1002.469209
10429.871839,113,1004.417923
10508.089837,111,1006.440534
10785.239584,112,1008.712294
10599.545877,116,1010.685077
11023.508886,115,1012.568773
10502.605255,115,1014.445256
10814.18843,112,1016.289936
11119.880715,115,1018.255109
10873.788115,116,1020.267002
2453.496988,59,1021.342163
10943.073182,117,1023.210677
10987.00371,113,1025.056219
10508.880888,114,1026.98264
10474.981808,114,1028.81364
11232.403959,112,1030.612431
10638.960215,113,1032.495028
10648.649748,113,1034.325224
10764.050474,111,1036.514694
10882.9,117,1039.016531
11229.758366,112,1040.898032
10937.086167,112,1042.865288
10533.492884,112,1044.802887
11240.519454,114,1046.651436
11283.395317,117,1048.552345
11179.135075,115,1050.396782
10692.502336,117,1052.394511
11404.348228,115,1054.236582
10738.083441,117,1056.189931
11776.770877,115,1058.066924
2312.474245,56,1059.054417
11572.353755,115,1061.029054
11408.541147,113,1062.944514
11477.795651,112,1064.776272
2963.514605,56,1066.118442
10165.580097,119,1068.322364
10861.70238,114,1070.601759
10905.989288,116,1072.532419
10351.080276,116,1074.456028
10900.218373,120,1076.432816
10899.5333,111,1078.306611
11002.78641,116,1080.133582
11097.563056,115,1082.001928
11515.666748,117,1083.898711
11075.533456,114,1085.781323
10969.397913,117,1087.93363
11247.018353,111,1089.795441
10760.374969,112,1091.632694
10591.76696,118,1093.529729
10611.270393,115,1095.456591
11078.906421,113,1097.598473
10505.001928,119,1099.949379
11126.963769,118,1102.131769
11403.480912,112,1104.083773
11112.046392,117,1105.985337
10653.342355,115,1107.855364
11036.77386,115,1109.723871
10475.255137,116,1111.639338
3123.564159,61,1112.957212
10315.120516,117,1114.85417
9530.175355,114,1116.740285
10864.661455,115,1118.626929
1527.011511,38,1119.36192
11256.209024,118,1121.301141
11125.610252,116,1123.161869
10254.485988,114,1125.00027
11631.672462,114,1126.97433
11291.489787,114,1129.115591
10297.647205,112,1131.543405
863.027355,62,1132.663609
10526.666572,112,1134.641632
10720.503825,113,1136.451523
10240.792806,115,1138.368946
11172.647679,113,1140.232439
11390.760048,117,1142.129694
11112.57747,114,1143.974337
11483.957883,116,1145.818185
11493.022289,115,1147.706139
10745.810826,113,1149.522797
